1785421710840030358 cluster=intermediate_queue_0 done=299 window_fps=11.25
1785421714826747682 cluster=intermediate_queue_0 done=300 window_fps=10.81
1785421719851150408 cluster=intermediate_queue_0 done=301 window_fps=11.15
1785421720490804103 cluster=intermediate_queue_0 done=302 window_fps=11.00
1785421723628668116 cluster=intermediate_queue_0 done=303 window_fps=10.59
1785421728172656069 cluster=intermediate_queue_0 done=304 window_fps=11.28
1785421729057568885 cluster=intermediate_queue_0 done=305 window_fps=11.36
1785421732884617521 cluster=intermediate_queue_0 done=306 window_fps=10.54
1785421734881143200 cluster=intermediate_queue_0 done=307 window_fps=11.54
1785421738767531427 cluster=intermediate_queue_0 done=308 window_fps=10.88
1785421741895500127 cluster=intermediate_queue_0 done=309 window_fps=10.61
1785421742378536243 cluster=intermediate_queue_0 done=310 window_fps=11.61
1785421746479935820 cluster=intermediate_queue_0 done=311 window_fps=11.03
1785421750230744277 cluster=intermediate_queue_0 done=312 window_fps=10.97
1785421753053164597 cluster=intermediate_queue_0 done=313 window_fps=11.34
1785421753493418086 cluster=intermediate_queue_0 done=314 window_fps=11.25
1785421757201901615 cluster=intermediate_queue_0 done=315 window_fps=11.33
1785421762433181810 cluster=intermediate_queue_0 done=316 window_fps=11.27
1785421763036283652 cluster=intermediate_queue_0 done=317 window_fps=11.28
1785421764464391801 cluster=intermediate_queue_0 done=318 window_fps=11.75
1785421769651568372 cluster=intermediate_queue_0 done=319 window_fps=11.57
1785421771855517707 cluster=intermediate_queue_0 done=320 window_fps=11.22
1785421774316360424 cluster=intermediate_queue_0 done=321 window_fps=11.59
1785421777628062926 cluster=intermediate_queue_0 done=322 window_fps=11.23
1785421778984013753 cluster=intermediate_queue_0 done=323 window_fps=11.94
1785421784372838344 cluster=intermediate_queue_0 done=324 window_fps=11.30
1785421785910966785 cluster=intermediate_queue_0 done=325 window_fps=11.03
1785421787110865020 cluster=intermediate_queue_0 done=326 window_fps=11.81
1785421792628517279 cluster=intermediate_queue_0 done=327 window_fps=11.32
1785421794772988170 cluster=intermediate_queue_0 done=328 window_fps=11.51
1785421795109442402 cluster=intermediate_queue_0 done=329 window_fps=11.53
1785421801622121736 cluster=intermediate_queue_0 done=330 window_fps=10.81
1785421802959618978 cluster=intermediate_queue_0 done=331 window_fps=11.84
1785421803719436451 cluster=intermediate_queue_0 done=332 window_fps=11.80
1785421810275585170 cluster=intermediate_queue_0 done=333 window_fps=10.48
1785421810995072025 cluster=intermediate_queue_0 done=334 window_fps=11.61
1785421812943019102 cluster=intermediate_queue_0 done=335 window_fps=11.68
1785421818202433667 cluster=intermediate_queue_0 done=336 window_fps=10.94
1785421818571389081 cluster=intermediate_queue_0 done=337 window_fps=11.72
1785421821313022006 cluster=intermediate_queue_0 done=338 window_fps=11.34
1785421826531167639 cluster=intermediate_queue_0 done=339 window_fps=11.39
1785421827740378501 cluster=intermediate_queue_0 done=340 window_fps=11.48
1785421829426864622 cluster=intermediate_queue_0 done=341 window_fps=11.34
1785421833892184265 cluster=intermediate_queue_0 done=342 window_fps=11.63
1785421837978290680 cluster=intermediate_queue_0 done=343 window_fps=11.11
1785421838200862579 cluster=intermediate_queue_0 done=344 window_fps=11.14
1785421841392674402 cluster=intermediate_queue_0 done=345 window_fps=12.07
1785421845502997369 cluster=intermediate_queue_0 done=346 window_fps=11.28
1785421847727123096 cluster=intermediate_queue_0 done=347 window_fps=10.91
1785421850473397174 cluster=intermediate_queue_0 done=348 window_fps=11.94
1785421853459474377 cluster=intermediate_queue_0 done=349 window_fps=11.30
1785421856120898935 cluster=intermediate_queue_0 done=350 window_fps=11.12
1785421858931816441 cluster=intermediate_queue_0 done=351 window_fps=11.79
1785421862785384762 cluster=intermediate_queue_0 done=352 window_fps=10.86
1785421863812511439 cluster=intermediate_queue_0 done=353 window_fps=11.29
1785421868627551677 cluster=intermediate_queue_0 done=354 window_fps=11.40
1785421870383576260 cluster=intermediate_queue_0 done=355 window_fps=11.26
1785421871387814577 cluster=intermediate_queue_0 done=356 window_fps=11.44
1785421877970878649 cluster=intermediate_queue_0 done=357 window_fps=10.89
1785421879094461251 cluster=intermediate_queue_0 done=358 window_fps=11.67
1785421879224637450 cluster=intermediate_queue_0 done=359 window_fps=11.70
1785421885936381541 cluster=intermediate_queue_0 done=360 window_fps=10.78
1785421886927438600 cluster=intermediate_queue_0 done=361 window_fps=11.59
1785421888770209335 cluster=intermediate_queue_0 done=362 window_fps=11.70
1785421894169362476 cluster=intermediate_queue_0 done=363 window_fps=10.98
1785421895847727166 cluster=intermediate_queue_0 done=364 window_fps=11.32
1785421896909234971 cluster=intermediate_queue_0 done=365 window_fps=11.77
1785421901887341050 cluster=intermediate_queue_0 done=366 window_fps=11.17
1785421905384455269 cluster=intermediate_queue_0 done=367 window_fps=11.27
1785421905830696886 cluster=intermediate_queue_0 done=368 window_fps=11.42
1785421910070191522 cluster=intermediate_queue_0 done=369 window_fps=11.58
1785421913310298493 cluster=intermediate_queue_0 done=370 window_fps=11.18
1785421914565694528 cluster=intermediate_queue_0 done=371 window_fps=11.12
1785421918723754453 cluster=intermediate_queue_0 done=372 window_fps=11.78
1785421921145675793 cluster=intermediate_queue_0 done=373 window_fps=11.41
1785421922587383011 cluster=intermediate_queue_0 done=374 window_fps=11.07
1785421929254000724 cluster=intermediate_queue_0 done=375 window_fps=11.08
1785421929707506709 cluster=intermediate_queue_0 done=376 window_fps=11.22
1785421929808414317 cluster=intermediate_queue_0 done=377 window_fps=11.70
1785421937551800270 cluster=intermediate_queue_0 done=378 window_fps=11.06
1785421938233589427 cluster=intermediate_queue_0 done=379 window_fps=11.32
1785421938248995365 cluster=intermediate_queue_0 done=380 window_fps=11.61
1785421945485825628 cluster=intermediate_queue_0 done=381 window_fps=11.01
1785421946452684136 cluster=intermediate_queue_0 done=382 window_fps=11.69
1785421946961732108 cluster=intermediate_queue_0 done=383 window_fps=11.67
1785421953179166168 cluster=intermediate_queue_0 done=384 window_fps=11.13
1785421954924518692 cluster=intermediate_queue_0 done=385 window_fps=11.53
1785421955281821802 cluster=intermediate_queue_0 done=386 window_fps=11.79
1785421961163781787 cluster=intermediate_queue_0 done=387 window_fps=11.31
1785421961817562399 cluster=intermediate_queue_0 done=388 window_fps=11.80
1785421966463935556 cluster=intermediate_queue_0 done=389 window_fps=10.94
1785421969370559075 cluster=intermediate_queue_0 done=390 window_fps=11.97
1785421969613535497 cluster=intermediate_queue_0 done=391 window_fps=12.03
1785421973551212451 cluster=intermediate_queue_0 done=392 window_fps=10.97
1785421977394447750 cluster=intermediate_queue_0 done=393 window_fps=12.05
1785421978961952398 cluster=intermediate_queue_0 done=394 window_fps=11.79
1785421983526896881 cluster=intermediate_queue_0 done=395 window_fps=10.60
1785421986517806666 cluster=intermediate_queue_0 done=396 window_fps=11.70
1785421986788210879 cluster=intermediate_queue_0 done=397 window_fps=11.90
1785421991432130193 cluster=intermediate_queue_0 done=398 window_fps=10.79
1785421993844770249 cluster=intermediate_queue_0 done=399 window_fps=11.80
1785421996252871856 cluster=intermediate_queue_0 done=400 window_fps=11.61
1785421998853767315 cluster=intermediate_queue_0 done=401 window_fps=11.02
1785422002425354028 cluster=intermediate_queue_0 done=402 window_fps=11.63
1785422004747821652 cluster=intermediate_queue_0 done=403 window_fps=11.18
